127.0.0.1 - - [21/May/2023:21:17:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/May/2023:21:17:47 +0530] "GET /inventorymgmtsystem/Login.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [21/May/2023:21:17:47 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/May/2023:21:18:10 +0530] "POST /inventorymgmtsystem/Logincustomer.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [21/May/2023:21:18:14 +0530] "GET /inventorymgmtsystem/feedbackform.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [21/May/2023:21:18:45 +0530] "POST /inventorymgmtsystem/feedbackuser.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2023:21:18:45 +0530] "GET /inventorymgmtsystem/Login.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [21/May/2023:21:21:06 +0530] "POST /inventorymgmtsystem/Logincustomer.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [21/May/2023:21:21:12 +0530] "GET /inventorymgmtsystem/Changepassword.jsp HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [21/May/2023:21:22:31 +0530] "GET /inventorymgmtsystem/Changepassword.jsp HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [21/May/2023:21:22:32 +0530] "GET /inventorymgmtsystem/Changepassword.jsp HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [21/May/2023:21:22:37 +0530] "GET /inventorymgmtsystem/Changepassword.jsp HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [21/May/2023:21:22:41 +0530] "POST /inventorymgmtsystem/Logincustomer.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [21/May/2023:21:22:44 +0530] "GET /inventorymgmtsystem/Changepasswordform.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [21/May/2023:21:22:54 +0530] "POST /inventorymgmtsystem/Changepassworduser.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2023:21:22:54 +0530] "GET /inventorymgmtsystem/CustomerDao.java HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [21/May/2023:21:24:45 +0530] "POST /inventorymgmtsystem/Changepassworduser.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2023:21:24:45 +0530] "GET /inventorymgmtsystem/Login.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [21/May/2023:21:26:42 +0530] "POST /inventorymgmtsystem/Changepassworduser.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2023:21:26:42 +0530] "GET /inventorymgmtsystem/Login.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [21/May/2023:21:28:20 +0530] "GET /inventorymgmtsystem/logoutpage.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2023:21:28:20 +0530] "GET /inventorymgmtsystem/Login.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [21/May/2023:21:28:59 +0530] "POST /inventorymgmtsystem/Changepassworduser.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2023:21:29:05 +0530] "POST /inventorymgmtsystem/Changepassworduser.jsp HTTP/1.1" 302 -
