127.0.0.1 - - [20/Jun/2023:00:27:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:27:23 +0530] "GET /MVCWithJdbc/ HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:27:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:27:27 +0530] "GET /MVCWithJdbc/form HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:27:32 +0530] "GET /MVCWithJdbc/stu HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:27:41 +0530] "GET /MVCWithJdbc/form HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:27:47 +0530] "GET /MVCWithJdbc/form HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:32:33 +0530] "GET /MVCWithJdbc/ HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:32:33 +0530] "GET /MVCWithJdbc/ HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:32:34 +0530] "GET /MVCWithJdbc/ HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:32:35 +0530] "GET /MVCWithJdbc/form HTTP/1.1" 500 5665
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:34:26 +0530] "GET /MVCWithJdbc/form HTTP/1.1" 500 5665
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:38:40 +0530] "GET /MVCWithJdbc/ HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:38:41 +0530] "GET /MVCWithJdbc/ HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:38:42 +0530] "GET /MVCWithJdbc/form HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:38:59 +0530] "POST /MVCWithJdbc/processform HTTP/1.1" 500 8139
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:43:24 +0530] "POST /MVCWithJdbc/processform HTTP/1.1" 500 8139
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:46:00 +0530] "GET /MVCWithJdbc/form HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:46:15 +0530] "POST /MVCWithJdbc/processform HTTP/1.1" 500 8139
0:0:0:0:0:0:0:1 - - [20/Jun/2023:00:47:46 +0530] "POST /MVCWithJdbc/processform HTTP/1.1" 500 3692
